datagouvid,code_insee
5b7698918b4c41186ae61962,37190
5b7e88e18b4c4120301c7087,95268
5b7ea6c3634f4119e42b781b,56154
5b8fe384634f414b25ea1d30,44067
5b8ffc778b4c413ec36d73f6,97209
5b90dc4d634f415369256e17,76497
5b90de3c8b4c412516d5511f,56239
5b90e0238b4c4126f11c4e06,35294
5b9774b28b4c4125375bb352,91589
5b97d641634f41705d358636,55272
5b98c848634f417124034fc7,95424
5b98ce86634f417af0af31a2,06032
5b9a1371634f417f35dc4a7c,40001
5b9b657a634f412c7f5c939b,38545
5ba0b9f5634f4150f31579dd,83137
5ba8a2ee8b4c416fd3e47c32,62119
5ba8b9da8b4c41176f2542a3,01376
5ba9f0bb634f416762d56c0c,06065
5baa0e468b4c414416b6f7b2,35328
5baa2b8d634f4175b6b9bed4,76157
5bab855f634f417eb0f01da8,71445
5bab970b8b4c415213d99c36,69029
5baba5cf634f4115fddd38be,54329
5bac7fb68b4c414fe45d8cee,83042
5baddf318b4c410ccff7933c,88176
5badf0508b4c412b0839e0f4,51108
5bae3178634f411900549882,73065
5bb1ca62634f4135a4a9d737,77153
5bb330b1634f414cf35ae7eb,76618
5bb345d18b4c414c173fc6a5,62563
5bb35a75634f410c19c29451,44057
5bb362fc8b4c4101c9ec49b2,07129
5bb47c2a634f416334276b4f,71014
5bb4ae00634f4155bc71f71f,94059
5bb4afe4634f415b10723272,13113
5bb4b18e634f415e74428bec,77390
5bb72ba78b4c4158da4632ca,30258
5bbb67d98b4c4144ce28067a,06079
5bbb7d93634f417a77e68539,77108
5bc0671d8b4c410a36b7d1f1,67472
5bc09b0e634f41606a1d8284,10362
5bc49c7b634f4173384a328f,13106
5bc5ab6c634f4126cc1da76b,35360
5bc75fbe8b4c417d0a07c480,94080
5bc88c76634f415c3c058ca5,2A098
5bc89cda8b4c410d10c08bfe,33159
5bcdeaa58b4c4120ffd710e5,38256
5bcf27078b4c4127749e259d,18279
5bd0491d8b4c41028c64efad,37050
5bd07d3f634f4122dbd74dc1,06149
5bd083548b4c4165919f352a,59139
5bd3012d634f4136fdd17bd1,78586
5bd875ac634f41794e19695f,59636
5be01ff4634f4154a89ac27d,34157
5be03eb6634f41076cee5cc1,86177
5be05a598b4c4165f7076f41,37063
5be15db5634f416118f8b095,86066
5be2a7e38b4c410ab153e137,67194
5be2e339634f414e947d298a,41150
5be2e6b2634f4156fbc6d230,41220
5be53f55634f4119ca26ec72,59512
5be9467a634f415a8620975f,13056
5bec29278b4c412a07c7ee5f,47001
5bee9ef0634f412f783aefc6,78123
5bf41904634f4150d1a38fdd,94002
5bfd0fce634f416c97b0b0a9,83050
5bfe7340634f4133d2c0d52b,94077
5c00089a8b4c414c75aed250,25388
5c002da8634f4111d7393309,38382
5c050cfb8b4c413be36cb1c3,97411
5c053b678b4c41081c5ca85e,57413
5c0a315d8b4c410eaa81c2d0,49021
5c0a515c8b4c414a18d54e86,31032
5c0a8522634f4154bb3d737d,25117
5c0fb6d3634f416a192f0eb7,77337
5c18befb634f41407464769b,34194
5c19d0088b4c4161d0e39baa,93073
5c19ed76634f414feacdbcc9,95313
5c1b44478b4c411074a42b9e,67256
5c1b4596634f4106b955d1f2,76259
5c2c8d65634f412fef24efdc,61006
5c2f5acc634f4124ff9f6ba2,91631
5c3365a8634f416d819c90b4,93050
5c336f08634f4122309bdb33,62048
5c388d5a8b4c415b415729d7,06059
5c40559d8b4c4151b275a7b0,78517
5c45a5bf8b4c4104054cc9bf,34111
5c45a5c18b4c4104123ed6d5,34111
5c46eba4634f415bfb10d491,77122
5c4728c9634f412e17fbc8dd,85047
5c488d5d634f41645d297148,83112
5c4973cf8b4c410839f61188,83112
5c49b5498b4c4139d1714d76,30010
5c4f4e728b4c410c5b9f47fd,59392
5c589ada8b4c41402c6b6533,78015
5c59b6498b4c4157a35c3880,63323
5c61a7448b4c410deeac953d,38517
5c62a50a634f4147e08c534d,94021
5c6303468b4c414d6ae2ebcd,40279
5c668100634f4103f9ee4e68,78217
5c6686958b4c4112712e3f6c,33433
5c668a1a634f41159f385227,37091
5c6ab1d98b4c41356c6fa89a,50218
5c6ac6e58b4c417067851df5,68078
5c6e8964634f416701f18c0d,49125
5c73f6da634f411e56939c97,85222
5c7510c18b4c417f11742baf,06088
5c77bd0b634f41295d5dd227,71261
5c7801878b4c4157bb48d223,80570
5c78f857634f41410f98cd9c,85065
5c78fba6634f414ce1bff603,19140
5c7e86e5634f4179f1a28f10,34243
5c810c338b4c4171d279d390,84131
5c810cb58b4c41751ace21f4,84131
5c8a29068b4c41160d47b97a,02095
5c8a2e8e634f4118ee8aeee2,17351
5c8a2e8f8b4c41248f2542f5,17380
5c8a2ea6634f411541dbc634,17240
5c8a2eaa8b4c412414de233d,17140
5c8a2ec6634f411c5580a72b,17452
5c8a2ec7634f411c56990637,17333
5c8b9f65634f41490bd0c8b3,47032
5c937c53634f414c0c84251d,70181
5c9e2bfb634f41255724d4ca,78146
5ca1cc3b8b4c414ab05950b1,11113
5ca6f5e38b4c410fcd663cfa,92077
5cacc0838b4c4147790eca6e,64435
5cb052de634f4116236be659,29048
5cb483608b4c412cbb008995,58046
5cb83fd0634f41350d875eec,84038
5cc159ae634f41071080fa38,05065
5cc19b08634f415e201b269e,64429
5cc6f42b8b4c412188a2aad3,14125
5ccab89f634f41330cbe1d68,62801
5cded5868b4c4107974ef10e,95555
5d31822b6f44413944bf19d3,62318
commune-deatuliers,33159
le-perreux-sur-marne,94058
mairie-de-pleumeleuc,35227
mairie-du-plessis-trevise,94059
mogneneins,01252
ville-de-besancon,25056
ville-de-marnes-la-coquette,92047
ville-de-marseille,13055
